Id,Id2,Geography,Households 2014,Households 2014 MOE,Median Income 2014,Median Income 2014 MOE,Households 2012,Households 2012 MOE,Median Income 2012,Median Income 2012 MOE,Adjusted 2012 Median Income,Percent Change
1400000US04019004038,04019004038,"Census Tract 40.38, Pima County, Arizona",1038,61,45816,5298,1040,62,47750,5503,49235.3632934659,-0.0694493361
1400000US04019004039,04019004039,"Census Tract 40.39, Pima County, Arizona",1664,125,28056,7653,1602,131,31775,3670,32763.4276157042,-0.1436793388
1400000US04019004042,04019004042,"Census Tract 40.42, Pima County, Arizona",2058,133,60528,5718,2303,98,60119,8214,61989.1268238717,-0.0235706954
1400000US04019004043,04019004043,"Census Tract 40.43, Pima County, Arizona",1600,60,69148,8219,1640,59,71269,8693,73485.9708180527,-0.0590312786
1400000US04019004044,04019004044,"Census Tract 40.44, Pima County, Arizona",1591,70,73950,17551,1612,68,87813,23319,90544.6064269972,-0.1832754825
1400000US04019004046,04019004046,"Census Tract 40.46, Pima County, Arizona",2086,142,47663,5235,2146,143,40326,10615,41580.4242968022,0.1462845992
1400000US04019004047,04019004047,"Census Tract 40.47, Pima County, Arizona",1189,77,77228,10825,1276,65,75536,11813,77885.7047483819,-0.0084444861
1400000US04019004048,04019004048,"Census Tract 40.48, Pima County, Arizona",1938,103,59309,9372,1979,93,63948,6328,65937.2358511111,-0.1005234109
1400000US04019004049,04019004049,"Census Tract 40.49, Pima County, Arizona",1146,72,44000,16759,1176,89,41429,6742,42717.7354112041,0.0300171481
1400000US04019004050,04019004050,"Census Tract 40.50, Pima County, Arizona",713,46,107652,7519,727,52,100438,19030,103562.333371081,0.0394899043
1400000US04019004051,04019004051,"Census Tract 40.51, Pima County, Arizona",1909,121,89787,14945,2061,102,83036,14902,85619.0078834813,0.0486806869
1400000US04019004052,04019004052,"Census Tract 40.52, Pima County, Arizona",838,67,94167,13775,795,41,95104,7228,98062.4081813985,-0.0397237663
1400000US04019004053,04019004053,"Census Tract 40.53, Pima County, Arizona",1271,83,74638,11583,1272,66,71316,15161,73534.4328510327,0.0150074884
1400000US04019004054,04019004054,"Census Tract 40.54, Pima County, Arizona",626,43,81694,8958,613,46,82292,15756,84851.8642124794,-0.0372162031
1400000US04019004055,04019004055,"Census Tract 40.55, Pima County, Arizona",1422,83,68400,11958,1467,85,66575,9548,68645.9541625652,-0.0035829375
1400000US04019004056,04019004056,"Census Tract 40.56, Pima County, Arizona",812,77,57292,10377,845,47,78125,12944,80555.2409906182,-0.2887861883
1400000US04019004057,04019004057,"Census Tract 40.57, Pima County, Arizona",1776,86,58200,9804,1795,102,59628,7733,61482.8532452939,-0.0533946145
1400000US04019004058,04019004058,"Census Tract 40.58, Pima County, Arizona",1859,99,55991,8161,1849,101,57051,6385,58825.6902880737,-0.0481879647
1400000US04019004061,04019004061,"Census Tract 40.61, Pima County, Arizona",1617,129,80240,14639,1641,174,75195,7327,77534.0972325061,0.0348995199
